Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
11687774062,"Jun 19, 2024, 8:58:38 AM",Morning Run,Run,,3948,12.19,175.0,143,false,,,activities/12470250686.fit.gz,,,3948.0,3791.0,12196.3,4.014,3.217,21.0,21.0,1.8,13.6,14.6,0.0,,,87.0,80.0,175.0,163.0,,360.0,945.0,,,143.0,1364725.0,,,,,,,,354.0,3950.0,,,0.0,,1.0,12258.6,1718784000.0,1.0,26.1,27.0,17.5,0.59,1016.7,2.6,5.2,165.0,0.0,1718766976.0,1718822912.0,0.375,,,0.0,1.0,0.0,28032.2,5.0,,,,,0.0,3.089,5994.4,,,,10098.0,,,776.0,266.0,3.234,,,,,,,,""
11695894498,"Jun 20, 2024, 9:37:20 AM",Lunch Run,Run,,1452,5.00,184.0,69,false,,,activities/12478601213.fit.gz,,,1452.0,1330.0,5007.8,4.894,3.765,0.0,3.0,1.2,4.4,3.8,-0.1,,,84.0,80.0,184.0,172.0,,418.0,361.0,,,69.0,555743.0,,,,,,,,399.0,1453.0,,,0.0,,1.0,5011.7,1718873984.0,1.0,27.8,29.6,19.8,0.62,1018.4,3.5,6.7,303.0,0.0,1718853376.0,1718909312.0,0.375,,,0.0,1.0,0.21,24657.2,7.0,,,,,0.0,3.449,345.4,,,,3552.0,,,363.0,300.0,3.768,,,,,,,,""
11754094981,"Jun 27, 2024, 4:59:04 PM",Evening Run,Run,Warm up + 3200 fokozó + 5x400,3746,8.53,191.0,97,false,,,activities/12538423164.fit.gz,,,3746.0,2549.0,8535.8,8.092,3.349,0.0,0.0,103.8,108.0,41.7,0.0,,,100.0,79.0,191.0,163.0,,397.0,635.0,,,97.0,994254.0,,,,,,,,356.0,3644.0,0.0,,0.0,,1.0,8569.5,1719504000.0,3.0,24.3,25.3,17.9,0.68,1009.8,2.5,4.3,69.0,0.1,1719456512.0,1719513984.0,0.625,,,0.59,5.0,0.65,18965.0,1.0,,,,,0.0,2.279,0.0,,,,6548.0,,,726.0,268.0,3.362,,,,,,,,""
11792251853,"Jul 2, 2024, 4:38:06 PM",Evening Run,Run,Warm up + 6x800 ,4819,7.44,189.0,68,false,,,activities/12577831543.fit.gz,,,4819.0,2031.0,7440.8,8.626,3.664,0.0,0.0,106.2,115.8,0.0,0.0,,,103.0,82.0,189.0,160.0,,422.0,503.0,,,68.0,854795.0,,,,,,,,364.0,3320.0,0.0,,0.0,,1.0,7439.9,1719936000.0,2.0,23.6,23.0,10.9,0.45,1006.9,5.8,12.1,333.0,0.0,1719888640.0,1719945856.0,0.875,,,0.55,5.0,0.39,30457.7,1.0,,,,,0.0,1.544,0.0,,,,5432.0,,,691.0,274.0,3.663,,,,,,,,""
11808911965,"Jul 4, 2024, 4:50:38 PM",Evening Run,Run,Szigetkör + 6x100 + 2x1600 tempo + 6×100,4405,11.14,188.0,115,false,,,activities/12594994234.fit.gz,,,4405.0,3108.0,11140.8,7.17,3.585,22.0,22.0,105.2,114.8,9.1,0.0,,,119.0,81.0,188.0,163.0,,399.0,801.0,,,115.0,1239022.0,,,,,,,,360.0,4284.0,0.0,,0.0,,1.0,11164.0,1720108800.0,1.0,23.9,23.2,10.0,0.41,1010.0,4.3,9.0,303.0,0.0,1720061568.0,1720118656.0,0.875,,,0.14,5.0,0.16,31608.2,1.0,,,,,0.0,2.529,4752.9,,,,8292.0,,,872.0,271.0,3.592,,,,,,,,""
11848185398,"Jul 9, 2024, 4:42:46 PM",Evening Run,Run,2000 m valtogatas + (1600 + 800 + 400m) tempo,4779,8.84,191.0,104,false,,,activities/12635606982.fit.gz,,,4779.0,2357.0,8843.7,7.022,3.752,9.0,8.0,98.2,112.0,48.8,0.1,,,95.0,81.0,191.0,168.0,,423.0,628.0,,,104.0,994747.0,,,,,,,,378.0,3427.0,0.0,,0.0,,1.0,8911.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.851,1388.8,,,,6306.0,,,768.0,284.0,3.781,,,,,,,,media/6a531004-374a-4a51-a33b-70b9ec457957.jpg
11879899777,"Jul 13, 2024, 3:57:00 PM",Afternoon Ride,Ride,"",6173,27.36,159.0,33,false,,,activities/12668435387.fit.gz,,,6173.0,4363.0,27364.5,10.756,6.272,39.0,42.0,88.0,97.8,48.3,0.0,,,,,159.0,129.0,,,654.0,,,33.0,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.433,8001.6,,,,,,,,,,,,,,,,,media/ab736297-11e1-414a-b9ba-d4e1592fdcc1.jpg|media/2c80d16c-2fd3-4781-baa3-3a1cecaa0b9d.jpg|media/0fb839f4-a802-4b7c-8d82-6dd694abd60c.jpg
11896385110,"Jul 15, 2024, 6:24:36 PM",Evening Run,Run,,3576,10.55,188.0,119,false,,,activities/12685549982.fit.gz,,,3576.0,3520.0,10550.8,12.44,2.997,40.0,45.0,106.0,120.0,27.3,-0.1,,,82.0,76.0,188.0,161.0,,337.0,836.0,,,119.0,1185318.0,,,,,,,,341.0,3577.0,,,0.0,,1.0,10627.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.95,0.0,,,,8932.0,,,652.0,256.0,3.019,,,,,,,,""
11904232906,"Jul 16, 2024, 4:36:17 PM",Evening Run,Run,Warm up + 4×100 + 9x600,4281,9.57,191.0,111,false,,,activities/12693656630.fit.gz,,,4281.0,2643.0,9574.1,8.188,3.622,1.0,1.0,103.0,106.2,10.6,0.0,,,117.0,79.0,191.0,166.0,,415.0,671.0,,,111.0,1094350.0,,,,,,,,363.0,4216.0,0.0,,0.0,,1.0,9583.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.236,2330.1,,,,6886.0,,,872.0,273.0,3.626,,,,,,,,""
11925227649,"Jul 19, 2024, 6:45:53 AM",Fishing trip Run,Run,5 x 2p/2p váltogatás,3041,9.00,190.0,114,false,,,activities/12715394623.fit.gz,,,3041.0,2766.0,9008.0,5.232,3.257,6.0,7.0,93.0,98.2,17.6,0.0,,,83.0,79.0,190.0,166.0,,364.0,696.0,,,114.0,1008734.0,,,,,,,,362.0,3043.0,0.0,,0.0,,1.0,9040.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.962,344.1,,,,7234.0,,,625.0,272.0,3.268,,,,,,,,""
11962670274,"Jul 23, 2024, 4:38:04 PM",Evening Run,Run,,743,1.94,145.0,4,false,,,activities/12754312092.fit.gz,,,743.0,735.0,1947.1,3.546,2.649,0.0,0.0,101.2,110.2,0.0,0.2,,,84.0,80.0,145.0,135.0,,325.0,159.0,,,4.0,238753.0,,,,,,,,320.0,744.0,,,0.0,,1.0,1956.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.621,0.0,,,,1986.0,,,119.0,241.0,2.662,,,,,,,,""
11962670877,"Jul 23, 2024, 5:07:34 PM",Evening Run,Run,"2x800valtogatas
3x(6×200) + jogging",3796,6.87,187.0,72,false,,,activities/12754312444.fit.gz,,,3796.0,1781.0,6872.8,8.704,3.859,9.0,0.0,105.4,114.4,46.2,0.0,,,110.0,82.0,187.0,166.0,,431.0,449.0,,,72.0,732275.0,,,,,,,,351.0,3371.0,0.0,,0.0,,1.0,6891.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.811,0.0,,,,4560.0,,,652.0,264.0,3.87,,,,,,,,""
11979946364,"Jul 25, 2024, 4:49:20 PM",Evening Run,Run,,1268,3.78,157.0,29,false,,,activities/12772198680.fit.gz,,,1268.0,1268.0,3784.2,4.048,2.984,3.0,2.0,101.4,104.4,3.9,0.0,,,83.0,79.0,157.0,149.0,,336.0,291.0,,,29.0,426031.0,,,,,,,,334.0,1269.0,,,0.0,,1.0,3796.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.984,3444.6,,,,3330.0,,,222.0,251.0,2.994,,,,,,,,""
11979948591,"Jul 25, 2024, 5:15:01 PM",Evening Run,Run,"3000 váltogatás (100/100)
5x400",2940,6.88,188.0,84,false,,,activities/12772200862.fit.gz,,,2940.0,1921.0,6884.8,6.332,3.584,26.0,21.0,95.4,106.8,44.9,0.2,,,123.0,80.0,188.0,167.0,,414.0,489.0,,,84.0,793657.0,,,,,,,,370.0,2685.0,0.0,,0.0,,1.0,6922.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.342,0.0,,,,5058.0,,,576.0,278.0,3.603,,,,,,,,""
12000985433,"Jul 28, 2024, 10:15:12 AM",Lunch Run,Run,,2116,6.01,174.0,61,false,,,activities/12794131985.fit.gz,,,2116.0,2116.0,6010.8,4.472,2.841,7.0,6.0,98.2,102.4,7.7,0.0,,,82.0,77.0,174.0,156.0,,316.0,484.0,,,61.0,668605.0,,,,,,,,314.0,2117.0,,,0.0,,1.0,6058.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.841,3149.8,,,,5430.0,,,327.0,236.0,2.863,,,,,,,,""
12020793076,"Jul 30, 2024, 4:43:03 PM",Evening Run,Run,"800 váltogatás 
14x(300m + 100m jogging)",4799,8.47,188.0,79,false,,,activities/12814720197.fit.gz,,,4799.0,2352.0,8477.5,7.422,3.604,0.0,0.0,99.8,110.2,2.3,0.0,,,97.0,79.0,188.0,161.0,,405.0,582.0,,,79.0,943247.0,,,,,,,,364.0,3671.0,0.0,,0.0,,1.0,8493.8,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.767,0.0,,,,6164.0,,,764.0,274.0,3.611,,,,,,,,""
12041797786,"Aug 2, 2024, 7:49:55 AM",Rainy Run,Run,"",2541,7.31,156.0,50,false,,,activities/12836559898.fit.gz,,,2541.0,2493.0,7314.8,4.138,2.934,3.0,3.0,107.8,113.2,10.2,0.0,,,83.0,79.0,156.0,147.0,,321.0,553.0,,,50.0,800774.0,,,,,,,,319.0,2542.0,0.0,,0.0,,1.0,7341.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.879,0.0,,,,6578.0,,,406.0,240.0,2.945,,,,,,,,""
12050026020,"Aug 3, 2024, 8:49:19 AM",Morning Run,Run,,3621,10.38,170.0,82,false,,,activities/12845144936.fit.gz,,,3621.0,3607.0,10385.9,4.108,2.879,13.0,16.0,106.0,111.6,12.2,0.0,,,82.0,78.0,170.0,148.0,,319.0,791.0,,,82.0,1151640.0,,,,,,,,321.0,3622.0,,,0.0,,1.0,10504.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.868,1741.3,,,,9360.0,,,585.0,241.0,2.912,,,,,,,,""
12079840839,"Aug 6, 2024, 4:40:23 PM",Evening Run,Run,"5×(3x400m)
3/1: 50/50 valt
3/2: 100/100 valt
3/3: tempo",5835,8.84,178.0,53,false,,,activities/12876347037.fit.gz,,,5835.0,2404.0,8842.6,8.862,3.678,0.0,0.0,105.0,111.2,0.0,0.0,,,110.0,80.0,178.0,150.0,,405.0,548.0,,,53.0,972037.0,,,,,,,,328.0,4476.0,0.0,,0.0,,1.0,8855.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.515,0.0,,,,6316.0,,,757.0,247.0,3.683,,,,,,,,""
12096748742,"Aug 8, 2024, 4:07:31 PM",Evening Run,Run,,3494,6.72,188.0,66,false,,,activities/12894015941.fit.gz,,,3494.0,2036.0,6724.7,9.242,3.303,0.0,0.0,101.4,110.6,0.0,0.1,,,94.0,80.0,188.0,159.0,,390.0,496.0,,,66.0,786714.0,,,,,,,,362.0,2836.0,,,0.0,,1.0,6734.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.925,0.0,,,,5410.0,,,583.0,272.0,3.308,,,,,,,,""
12138550280,"Aug 13, 2024, 4:07:42 PM",Evening run,Run,4x(3x400m),3849,8.00,190.0,80,false,,,activities/12937930225.fit.gz,,,3849.0,2162.0,8000.8,8.06,3.701,0.0,0.0,102.0,110.8,0.0,0.0,,,120.0,81.0,190.0,163.0,,418.0,545.0,,,80.0,896774.0,,,,,,,,343.0,3771.0,0.0,,0.0,,1.0,8010.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.079,0.0,,,,5716.0,,,696.0,258.0,3.705,,,,,,,,""
12155879434,"Aug 15, 2024, 4:10:03 PM",Evening Run,Run,Warm up jog + 5000 m fokozó + 6 x 100m,3712,9.07,190.0,87,false,,,activities/12957122795.fit.gz,,,3712.0,2871.0,9078.9,10.25,3.162,0.0,0.0,106.2,112.0,44.1,0.0,,,109.0,80.0,190.0,158.0,,370.0,700.0,,,87.0,1055626.0,,,,,,,,360.0,3580.0,0.0,,0.0,,1.0,9102.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.446,0.0,,,,7532.0,,,729.0,271.0,3.17,,,,,,,,""
12197984759,"Aug 20, 2024, 4:26:20 PM",Evening Run,Run,,3997,10.83,160.0,68,false,,,activities/13004496111.fit.gz,,,3997.0,3819.0,10835.9,4.748,2.837,38.0,46.0,101.6,119.4,12.1,-0.1,,,82.0,76.0,160.0,146.0,,319.0,823.0,,,68.0,1216897.0,,,,,,,,313.0,3998.0,,,0.0,,1.0,10886.7,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.711,547.3,,,,9632.0,,,614.0,235.0,2.851,,,,,,,,""
12215862812,"Aug 22, 2024, 4:36:03 PM",Evening Run,Run,"4x2000m / 2min progressively
4/1 - 9:35
4/2 - 8:53
4/3 - 8:22
4-4 - 7:59",5328,12.70,190.0,119,false,,,activities/13023276712.fit.gz,,,5328.0,3899.0,12703.0,6.498,3.258,15.0,9.0,102.2,111.0,38.6,0.0,,,123.0,78.0,190.0,158.0,,384.0,943.0,,,119.0,1493570.0,,,,,,,,369.0,4924.0,0.0,,0.0,,1.0,12795.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.384,0.0,,,,10108.0,,,1051.0,277.0,3.282,,,,,,,,""
12257642748,"Aug 27, 2024, 4:51:49 PM",Evening Run,Run,"4×800 
7×400",3386,8.26,193.0,84,false,,,activities/13066796774.fit.gz,,,3386.0,1986.0,8265.4,7.328,4.162,1.0,1.0,101.0,109.8,8.4,0.1,,,102.0,80.0,193.0,166.0,,454.0,516.0,,,84.0,898599.0,,,,,,,,383.0,3241.0,0.0,,0.0,,1.0,8300.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.441,0.0,,,,5238.0,,,746.0,288.0,4.179,,,,,,,,""
12265858287,"Aug 28, 2024, 4:06:20 PM",Hármashatár-hegyi Run,Run,"",3691,9.05,162.0,45,false,,,activities/13075338599.fit.gz,,,3691.0,3495.0,9051.6,4.122,2.59,201.0,204.0,278.0,384.8,27.8,0.0,,,110.0,77.0,162.0,143.0,,308.0,720.0,,,45.0,1074880.0,,,,,,,,307.0,3692.0,0.0,,0.0,,1.0,9722.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.452,7937.5,,,,8878.0,,,546.0,231.0,2.782,,,,,,,,""
12275046630,"Aug 29, 2024, 4:37:02 PM",Evening Run,Run,1x1200 +5x800 valtogatva,4595,8.38,190.0,71,false,,,activities/13085603996.fit.gz,,,4595.0,2284.0,8386.9,7.18,3.672,1.0,0.0,99.6,104.4,36.8,0.0,,,96.0,80.0,190.0,159.0,,403.0,560.0,,,71.0,917013.0,,,,,,,,358.0,3818.0,0.0,,0.0,,1.0,8408.1,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.825,0.0,,,,6014.0,,,767.0,269.0,3.681,,,,,,,,""
12317369120,"Sep 3, 2024, 4:41:01 PM",Evening Run,Run,"4x1200 váltogatás 
(1200 = 400/100 + 300/200 + 200)",5189,7.43,188.0,63,false,,,activities/13130930616.fit.gz,,,5189.0,1958.0,7430.1,7.16,3.795,1.0,0.0,101.0,105.8,19.5,0.0,,,96.0,79.0,188.0,160.0,,409.0,496.0,,,63.0,799893.0,,,,,,,,358.0,3319.0,0.0,,0.0,,1.0,7453.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.432,0.0,,,,5124.0,,,667.0,269.0,3.806,,,,,,,,""
12334830041,"Sep 5, 2024, 4:37:51 PM",Evening Run,Run,2x6x200m / 100m jog,4626,5.56,175.0,25,false,,,activities/13150589505.fit.gz,,,4626.0,1500.0,5562.6,8.858,3.708,3.0,0.0,101.8,108.6,36.9,0.1,,,112.0,80.0,175.0,146.0,,367.0,327.0,,,25.0,550874.0,,,,,,,,265.0,3178.0,0.0,,0.0,,1.0,5590.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.202,0.0,,,,3854.0,,,350.0,199.0,3.727,,,,,,,,""
12346495053,"Sep 7, 2024, 6:57:31 AM",Morning Run,Run,,4271,10.85,165.0,105,false,,,activities/13163181334.fit.gz,,,4271.0,3873.0,10857.7,3.998,2.803,9.0,6.0,91.8,102.8,7.7,0.0,,,82.0,77.0,165.0,154.0,,310.0,855.0,,,105.0,1202252.0,,,,,,,,302.0,4220.0,,,0.0,,1.0,10896.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.542,7410.4,,,,9850.0,,,604.0,227.0,2.813,,,,,,,,""
12393969922,"Sep 12, 2024, 5:04:47 PM",Evening Run,Run,,4173,12.58,158.0,90,false,,,activities/13213934378.fit.gz,,,4173.0,4144.0,12585.5,5.329,3.037,52.0,52.0,107.0,118.8,34.1,0.0,,,104.0,77.0,158.0,148.0,,350.0,919.0,,,90.0,1449432.0,,,,,,,,349.0,4175.0,,,0.0,,1.0,12699.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.016,0.0,,,,10572.0,,,797.0,262.0,3.065,,,,,,,,""
12401617857,"Sep 13, 2024, 4:46:45 PM",Evening Run,Run,Szigetkör + hill runs + 2000 valtogatas +5x300m/100m jog,4481,10.48,168.0,67,false,,,activities/13222156200.fit.gz,,,4481.0,3057.0,10485.2,7.372,3.43,18.0,10.0,99.2,108.8,9.0,0.0,,,111.0,79.0,168.0,149.0,,372.0,697.0,,,67.0,1135965.0,,,,,,,,333.0,4142.0,0.0,,0.0,,1.0,10553.9,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.34,2012.4,,,,8006.0,,,720.0,250.0,3.452,,,,,,,,""
12405270307,"Sep 14, 2024, 8:00:41 AM",5K tempo for breakfast,Run,"",2587,7.02,186.0,82,false,,,activities/13226108226.fit.gz,,,2587.0,1824.0,7024.8,8.851,3.851,31.0,23.0,106.6,118.0,26.0,0.1,,,86.0,80.0,186.0,168.0,,434.0,489.0,,,82.0,785540.0,,,,,,,,389.0,2562.0,0.0,,0.0,,1.0,7097.6,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.715,518.1,,,,4820.0,,,607.0,292.0,3.891,,,,,,,,""
12434987978,"Sep 17, 2024, 4:40:36 PM",Evening Run,Run,"2000 m valtogatva
1x1000m tempo
2x500m tempo",3735,8.43,184.0,39,false,,,activities/13257921774.fit.gz,,,3735.0,2581.0,8431.3,6.066,3.267,86.0,91.0,455.6,481.8,15.6,0.0,,,115.0,78.0,184.0,143.0,,370.0,572.0,,,39.0,956057.0,,,,,,,,354.0,3614.0,0.0,,0.0,,1.0,8559.3,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.257,4586.6,,,,6664.0,,,710.0,266.0,3.316,,,,,,,,""
